#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
EQ_2017-02-05_2000.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1085.431339,549.076635,-91.528464
EQ_2017-02-05_2007.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1070.28612,554.487269,-80.966212
EQ_2017-02-05_2015.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1058.829497,558.667269,-73.473462
EQ_2017-02-05_2022.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1044.248238,563.826324,-61.585149
EQ_2017-02-05_2029.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1034.597067,567.383714,-55.196451
EQ_2017-02-05_2037.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1022.17309,571.803357,-44.995748
EQ_2017-02-05_2044.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1006.978421,577.063557,-31.002828
EQ_2017-02-05_2051.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,995.875219,581.016929,-22.37661
EQ_2017-02-05_2059.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,983.596979,585.312955,-12.232552
EQ_2017-02-05_2066.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,969.212915,590.226935,0.635285
EQ_2017-02-05_2074.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,954.572083,595.182612,13.801588
EQ_2017-02-05_2081.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,945.808785,598.34432,19.296387
EQ_2017-02-05_2088.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,927.677828,604.278588,36.933152
EQ_2017-02-05_2096.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,919.322181,607.287675,41.890434
EQ_2017-02-05_2103.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,910.39873,610.453702,47.684274
EQ_2017-02-05_2110.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,894.629095,615.599242,63.357319
EQ_2017-02-05_2118.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,883.312424,619.424002,74.041408
EQ_2017-02-05_2125.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,869.736044,623.87431,89.593237
EQ_2017-02-05_2132.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,858.235601,627.709258,103.054686
EQ_2017-02-05_2140.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,847.631351,631.273422,115.886452
